,Airline,Source,Destination,Route,Total_Stops,Additional_Info,Price,Month,Dep_Time_day,Duration_in_minutes,Dep_Time_hour,Dep_Time_minute,Arrival_Time_hour,Arrival_Time_minute,Arrival_Time_day
1453,Air Asia,Delhi,Cochin,DEL → BLR → COK,1,No info,11410,6,3,590,20,45,6,35,4
1454,Jet Airways,Banglore,New Delhi,BLR → BOM → DEL,1,In-flight meal not included,9134,3,15,450,5,45,13,15,20
1456,Jet Airways,Banglore,New Delhi,BLR → BOM → DEL,1,No info,14815,3,6,1365,8,55,7,40,7
1457,IndiGo,Banglore,Delhi,BLR → DEL,0,No info,4591,6,3,170,23,30,2,20,4
1458,Jet Airways,Delhi,Cochin,DEL → BOM → COK,1,In-flight meal not included,12373,5,9,1210,22,50,19,0,10
1459,Air Asia,Banglore,New Delhi,BLR → DEL,0,No info,4284,3,9,170,5,50,8,40,20
1460,Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,1,No info,13941,5,18,1375,5,45,4,40,18
1461,Jet Airways,Delhi,Cochin,DEL → BOM → COK,1,No info,16289,3,9,1525,17,25,18,50,10
1462,IndiGo,Delhi,Cochin,DEL → PNQ → COK,1,No info,9165,6,24,305,23,30,4,35,25
1464,Air Asia,Kolkata,Banglore,CCU → DEL → BLR,1,No info,5192,4,1,720,22,40,10,40,2
1465,Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,1,No info,14939,6,9,665,21,10,8,15,10
1467,Multiple carriers,Delhi,Cochin,DEL → BOM → COK,1,No info,14502,6,3,540,10,0,19,0,20
1468,Jet Airways,Banglore,New Delhi,BLR → BOM → DEL,1,No info,13817,3,12,810,22,55,12,25,13
1470,Multiple carriers,Delhi,Cochin,DEL → BOM → COK,1,No info,15077,3,6,510,10,45,19,15,20
1471,Multiple carriers,Delhi,Cochin,DEL → BOM → COK,1,No info,12192,6,12,600,9,0,19,0,20
1473,IndiGo,Chennai,Kolkata,MAA → CCU,0,No info,3850,5,18,140,7,55,10,15,20
1474,IndiGo,Mumbai,Hyderabad,BOM → HYD,0,No info,3175,6,1,90,16,55,18,25,20
1476,Jet Airways,Delhi,Cochin,DEL → BOM → COK,1,No info,16079,5,27,1425,19,15,19,0,28
1479,Jet Airways,Delhi,Cochin,DEL → JAI → BOM → COK,2,In-flight meal not included,10368,6,15,560,9,40,19,0,20
1480,Jet Airways,Delhi,Cochin,DEL → BOM → COK,1,In-flight meal not included,12898,5,27,1210,22,50,19,0,28
1481,Air India,Kolkata,Banglore,CCU → GAU → DEL → BLR,2,No info,14960,5,1,1185,16,45,12,30,2
1484,Jet Airways,Delhi,Cochin,DEL → JDH → BOM → COK,2,No info,18804,6,6,440,11,40,19,0,20
1485,Vistara,Delhi,Cochin,DEL → COK,0,No info,6111,3,15,190,6,0,9,10,20
1486,IndiGo,Delhi,Cochin,DEL → COK,0,No info,6015,6,9,195,21,5,0,20,10
1487,Air India,Banglore,Delhi,BLR → DEL,0,No info,6121,5,18,170,13,20,16,10,20
1489,Jet Airways,Banglore,Delhi,BLR → DEL,0,No info,7229,5,9,175,15,15,18,10,20
1490,IndiGo,Delhi,Cochin,DEL → HYD → COK,1,No info,6442,6,12,455,8,35,16,10,20
1492,Air India,Kolkata,Banglore,CCU → BOM → COK → BLR,2,No info,11542,6,12,1700,9,25,13,45,13
1493,Jet Airways,Delhi,Cochin,DEL → BOM → COK,1,No info,16079,5,21,520,19,45,4,25,22
1495,Air India,Kolkata,Banglore,CCU → DEL → COK → BLR,2,No info,10408,4,1,920,10,0,1,20,2
1497,GoAir,Banglore,New Delhi,BLR → DEL,0,No info,13663,3,1,175,7,45,10,40,20
1498,Air India,Delhi,Cochin,DEL → BLR → COK,1,No info,10671,5,15,705,20,30,8,15,16
1499,Air Asia,Banglore,Delhi,BLR → DEL,0,No info,3383,6,18,170,23,55,2,45,18
1500,Multiple carriers,Delhi,Cochin,DEL → BOM → COK,1,No info,9021,5,9,910,10,20,1,30,10
1501,Multiple carriers,Delhi,Cochin,DEL → BOM → COK,1,No info,14533,5,18,615,9,0,19,15,20
1502,Jet Airways,Delhi,Cochin,DEL → LKO → BOM → COK,2,In-flight meal not included,11992,6,6,1000,11,45,4,25,7
1503,IndiGo,Chennai,Kolkata,MAA → CCU,0,No info,3597,5,12,140,13,15,15,35,20
1504,IndiGo,Banglore,Delhi,BLR → DEL,0,No info,4077,6,9,165,1,30,4,15,20
1505,Multiple carriers,Delhi,Cochin,DEL → HYD → COK,1,No info,9646,6,12,545,7,5,16,10,20
1506,SpiceJet,Kolkata,Banglore,CCU → BLR,0,No info,3873,4,1,140,22,20,0,40,2
1507,Jet Airways,Delhi,Cochin,DEL → AMD → BOM → COK,2,No info,15129,5,9,1430,19,10,19,0,10
1508,IndiGo,Delhi,Cochin,DEL → BOM → COK,1,No info,6104,6,9,480,17,30,1,30,10
1509,Jet Airways,Delhi,Cochin,DEL → AMD → BOM → COK,2,In-flight meal not included,16022,3,6,1995,19,10,4,25,8
1510,Jet Airways,Banglore,New Delhi,BLR → MAA → DEL,1,In-flight meal not included,10562,3,9,885,9,45,0,30,13
1511,Air India,Delhi,Cochin,DEL → MAA → COK,1,No info,10945,3,9,1640,6,5,9,25,10
1514,IndiGo,Delhi,Cochin,DEL → HYD → COK,1,No info,9585,3,3,425,4,55,12,0,20
1515,Jet Airways,Mumbai,Hyderabad,BOM → HYD,0,In-flight meal not included,3210,5,18,90,19,35,21,5,20
1516,IndiGo,Delhi,Cochin,DEL → BLR → COK,1,No info,6147,5,9,290,15,10,20,0,20
1517,Jet Airways,Kolkata,Banglore,CCU → DEL → BLR,1,In-flight meal not included,7341,5,9,395,17,0,23,35,20
1520,Air India,Delhi,Cochin,DEL → GOI → BOM → COK,2,No info,10441,5,9,1275,22,0,19,15,10
1521,IndiGo,Delhi,Cochin,DEL → BOM → COK,1,No info,13611,3,6,975,4,45,21,0,20
1522,Jet Airways,Banglore,New Delhi,BLR → BOM → DEL,1,In-flight meal not included,11087,3,9,1550,8,55,10,45,13
1523,Jet Airways,Delhi,Cochin,DEL → BOM → COK,1,In-flight meal not included,5963,3,27,1470,19,15,19,45,28
1525,Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,1,In-flight meal not included,8529,6,12,910,18,55,10,5,13
1526,Multiple carriers,Delhi,Cochin,DEL → BOM → COK,1,No info,10678,6,12,845,4,55,19,0,20
1528,Jet Airways,Delhi,Cochin,DEL → BOM → COK,1,No info,18371,6,12,620,2,15,12,35,20
1529,Jet Airways,Kolkata,Banglore,CCU → DEL → BLR,1,No info,12692,6,6,800,20,25,9,45,7
1531,Jet Airways,Banglore,Delhi,BLR → DEL,0,In-flight meal not included,7229,6,9,180,19,50,22,50,20
1532,IndiGo,Banglore,New Delhi,BLR → DEL,0,No info,6144,3,3,170,23,30,2,20,4
1533,Jet Airways,Delhi,Cochin,DEL → NAG → BOM → COK,2,In-flight meal not included,10919,6,1,1300,6,45,4,25,2
1534,IndiGo,Kolkata,Banglore,CCU → BLR,0,No info,4148,3,27,160,21,25,0,5,28
1537,IndiGo,Delhi,Cochin,DEL → BOM → COK,1,No info,14871,3,6,505,17,10,1,35,7
1539,IndiGo,Delhi,Cochin,DEL → HYD → COK,1,No info,6938,6,6,490,14,20,22,30,20
1540,IndiGo,Delhi,Cochin,DEL → BOM → COK,1,No info,6093,6,12,750,8,30,21,0,20
1541,IndiGo,Banglore,Delhi,BLR → DEL,0,No info,3943,5,15,170,10,10,13,0,20
1542,Jet Airways,Mumbai,Hyderabad,BOM → HYD,0,No info,8040,6,6,90,10,20,11,50,20
1543,Jet Airways,Delhi,Cochin,DEL → AMD → BOM → COK,2,No info,15129,5,9,810,23,5,12,35,10
1544,SpiceJet,Chennai,Kolkata,MAA → CCU,0,No info,3597,5,9,140,17,45,20,5,20
1545,Vistara,Kolkata,Banglore,CCU → DEL → BLR,1,No info,8610,5,6,700,7,10,18,50,20
1546,Jet Airways,Kolkata,Banglore,CCU → DEL → BLR,1,No info,13067,5,1,395,17,0,23,35,20
1547,SpiceJet,Banglore,Delhi,BLR → DEL,0,No info,4991,5,9,170,9,30,12,20,20
1548,SpiceJet,Kolkata,Banglore,CCU → MAA → BLR,1,No info,4649,4,1,315,15,5,20,20,20
1549,SpiceJet,Chennai,Kolkata,MAA → CCU,0,No info,3597,5,18,135,8,20,10,35,20
1552,IndiGo,Banglore,New Delhi,BLR → DEL,0,No info,8855,3,3,170,16,55,19,45,20
1553,Jet Airways,Delhi,Cochin,DEL → BOM → COK,1,In-flight meal not included,10262,6,6,1270,21,50,19,0,7
1555,Multiple carriers,Delhi,Cochin,DEL → BOM → COK,1,No info,9001,6,3,385,12,50,19,15,20
1556,Multiple carriers,Delhi,Cochin,DEL → BOM → COK,1,No info,7670,5,18,910,10,20,1,30,18
1557,Multiple carriers,Delhi,Cochin,DEL → BOM → COK,1,No info,7530,6,3,465,17,45,1,30,4
1558,IndiGo,Kolkata,Banglore,CCU → PAT → BLR,1,No info,8443,5,1,295,9,20,14,15,20
1559,SpiceJet,Delhi,Cochin,DEL → MAA → COK,1,No info,5351,4,1,315,6,5,11,20,20
1561,Jet Airways,Banglore,New Delhi,BLR → BOM → DEL,1,In-flight meal not included,11087,3,12,1355,20,35,19,10,13
1562,Air India,Banglore,New Delhi,BLR → CCU → BBI → DEL,2,No info,7664,3,15,1815,5,50,12,5,16
1563,IndiGo,Kolkata,Banglore,CCU → HYD → BLR,1,No info,4775,4,15,315,15,15,20,30,20
1565,Jet Airways,Delhi,Cochin,DEL → NAG → BOM → COK,2,No info,13376,6,24,1300,6,45,4,25,25
1566,Jet Airways,Delhi,Cochin,DEL → ATQ → BOM → COK,2,No info,14300,6,12,1705,8,10,12,35,13
1567,Air India,Delhi,Cochin,DEL → MAA → COK,1,No info,7480,6,27,765,20,40,9,25,28
1568,IndiGo,Mumbai,Hyderabad,BOM → HYD,0,No info,2227,5,12,90,21,20,22,50,20
1569,Air Asia,Delhi,Cochin,DEL → BLR → COK,1,No info,7452,5,18,870,7,55,22,25,20
1571,Air India,Kolkata,Banglore,CCU → BBI → HYD → BLR,2,No info,4647,4,3,1555,9,10,11,5,4
1574,Air Asia,Kolkata,Banglore,CCU → BBI → BLR,1,No info,6857,6,6,215,19,55,23,30,20
1575,Jet Airways,Delhi,Cochin,DEL → BOM → COK,1,In-flight meal not included,12373,5,9,550,19,15,4,25,10
1576,Multiple carriers,Delhi,Cochin,DEL → BOM → COK,1,No info,11789,6,15,440,11,40,19,0,20
1577,Air India,Delhi,Cochin,DEL → HYD → BOM → COK,2,No info,13039,5,9,865,17,15,7,40,10
1578,Jet Airways,Banglore,New Delhi,BLR → BOM → DEL,1,In-flight meal not included,11087,3,12,750,22,55,11,25,13
1579,Vistara,Kolkata,Banglore,CCU → DEL → BLR,1,No info,9345,5,18,1625,20,20,23,25,18
1580,SpiceJet,Mumbai,Hyderabad,BOM → HYD,0,No check-in baggage included,1965,6,24,90,22,45,0,15,25
1581,IndiGo,Delhi,Cochin,DEL → BOM → COK,1,No info,6093,6,3,810,7,30,21,0,20
1582,Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,1,In-flight meal not included,11841,6,9,800,18,55,8,15,10
1583,Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,1,In-flight meal not included,9663,5,9,775,21,10,10,5,10
1584,Jet Airways,Delhi,Cochin,DEL → BOM → COK,1,No info,14714,6,6,1425,19,15,19,0,7
1585,Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,1,In-flight meal not included,8529,6,12,1660,18,55,22,35,13
1586,IndiGo,Delhi,Cochin,DEL → HYD → COK,1,No info,5073,4,6,275,7,35,12,10,20
1588,Air India,Delhi,Cochin,DEL → BOM → COK,1,No info,9194,6,6,555,10,0,19,15,20
1589,Multiple carriers,Delhi,Cochin,DEL → BOM → COK,1,No info,11789,6,12,440,11,40,19,0,20
1590,SpiceJet,Mumbai,Hyderabad,BOM → HYD,0,No info,2017,6,12,90,13,15,14,45,20
1591,Air India,Kolkata,Banglore,CCU → VNS → DEL → BLR,2,No info,15894,6,6,1320,14,30,12,30,7
1592,IndiGo,Banglore,Delhi,BLR → DEL,0,No info,3419,5,9,165,1,30,4,15,20
1593,Jet Airways,Delhi,Cochin,DEL → JAI → BOM → COK,2,In-flight meal not included,10368,6,9,1375,5,30,4,25,10
1595,Air India,Delhi,Cochin,DEL → MAA → COK,1,No info,7480,5,18,765,20,40,9,25,18
1596,SpiceJet,Kolkata,Banglore,CCU → PNQ → BLR,1,No info,7189,6,12,520,8,35,17,15,20
1597,Air India,Banglore,New Delhi,BLR → DEL,0,No info,7276,3,15,165,10,0,12,45,20
1598,Jet Airways,Delhi,Cochin,DEL → BOM → COK,1,No info,15764,3,6,1015,11,30,4,25,7
1599,Jet Airways,Delhi,Cochin,DEL → BOM → COK,1,No info,14714,6,6,550,19,15,4,25,7
1600,Multiple carriers,Delhi,Cochin,DEL → BOM → COK,1,No info,7888,5,21,510,17,0,1,30,22
1601,Jet Airways,Delhi,Cochin,DEL → BOM → COK,1,In-flight meal not included,10262,6,6,1225,8,0,4,25,7
1602,Jet Airways,Delhi,Cochin,DEL → ATQ → BOM → COK,2,In-flight meal not included,15318,5,18,505,20,0,4,25,18
1603,Jet Airways,Kolkata,Banglore,CCU → GAU → BLR,1,In-flight meal not included,5608,5,1,435,10,20,17,35,20
1604,Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,1,No info,12681,4,1,590,8,25,18,15,20
1605,Air India,Delhi,Cochin,DEL → HYD → MAA → COK,2,No info,9417,3,6,970,17,15,9,25,7
1606,Multiple carriers,Delhi,Cochin,DEL → BOM → COK,1,No info,17057,3,3,835,7,5,21,0,20
1608,Air India,Delhi,Cochin,DEL → GOI → BOM → COK,2,No info,10651,5,27,1275,22,0,19,15,28
1609,Vistara,Delhi,Cochin,DEL → COK,0,No info,6741,6,1,190,6,0,9,10,20
1610,Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,1,In-flight meal not included,10844,5,24,1595,20,0,22,35,25
1611,Air India,Delhi,Cochin,DEL → CCU → BOM → COK,2,No info,13381,5,27,1730,14,25,19,15,28
1612,IndiGo,Banglore,Delhi,BLR → DEL,0,No info,4423,4,6,165,6,5,8,50,20
1614,Jet Airways,Delhi,Cochin,DEL → IDR → BOM → COK,2,In-flight meal not included,12719,5,21,1620,9,35,12,35,22
1615,IndiGo,Delhi,Cochin,DEL → HYD → COK,1,No info,5054,6,1,275,7,35,12,10,20
1616,Air India,Delhi,Cochin,DEL → MAA → COK,1,No info,7480,5,24,1420,9,45,9,25,25
1617,Air India,Banglore,Delhi,BLR → DEL,0,No info,6961,6,3,165,17,0,19,45,20
1619,IndiGo,Banglore,Delhi,BLR → DEL,0,No info,3943,6,3,180,21,15,0,15,4
1620,Jet Airways,Banglore,Delhi,BLR → DEL,0,No info,7229,5,3,180,8,20,11,20,20
1621,SpiceJet,Banglore,Delhi,BLR → DEL,0,No check-in baggage included,4319,5,15,170,9,30,12,20,20
1623,Jet Airways,Delhi,Cochin,DEL → BOM → COK,1,No info,16079,5,21,335,22,50,4,25,22
1625,Air India,Delhi,Cochin,DEL → HYD → MAA → COK,2,No info,10467,6,1,1210,13,15,9,25,2
1626,Jet Airways,Delhi,Cochin,DEL → BOM → COK,1,No info,14714,6,3,1145,17,30,12,35,4
1627,Air India,Kolkata,Banglore,CCU → GAU → BLR,1,No info,7452,5,1,1700,16,45,21,5,2
1628,Air India,Delhi,Cochin,DEL → UDR → BOM → COK,2,No info,13276,5,21,1795,13,20,19,15,22
1630,Air India,Chennai,Kolkata,MAA → CCU,0,No info,4667,5,1,135,11,40,13,55,20
1631,Jet Airways,Banglore,Delhi,BLR → DEL,0,In-flight meal not included,7229,6,15,175,15,15,18,10,20
1632,Jet Airways,Delhi,Cochin,DEL → BDQ → BOM → COK,2,No info,14237,6,15,1090,18,25,12,35,16
1633,Multiple carriers,Delhi,Cochin,DEL → BOM → COK,1,No info,8266,5,15,535,10,20,19,15,20
1634,Jet Airways,Delhi,Cochin,DEL → LKO → BOM → COK,2,No info,13882,6,24,1140,9,25,4,25,25
1635,IndiGo,Banglore,Delhi,BLR → DEL,0,No info,4823,5,6,170,20,0,22,50,20
1636,Air Asia,Banglore,Delhi,BLR → DEL,0,No info,4483,5,24,170,23,55,2,45,25
1637,Air India,Banglore,Delhi,BLR → DEL,0,No info,6961,6,12,165,6,10,8,55,20
1638,Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,1,In-flight meal not included,9663,5,12,910,18,55,10,5,13
1639,Jet Airways,Delhi,Cochin,DEL → AMD → BOM → COK,2,No info,16704,5,18,1760,23,5,4,25,20
1640,IndiGo,Mumbai,Hyderabad,BOM → HYD,0,No info,4049,5,12,90,9,10,10,40,20
1642,IndiGo,Delhi,Cochin,DEL → HYD → COK,1,No info,6442,6,9,940,6,50,22,30,20
1643,Jet Airways,Banglore,New Delhi,BLR → BOM → DEL,1,In-flight meal not included,7832,3,15,1480,7,0,7,40,16
1646,Jet Airways,Banglore,New Delhi,BLR → BOM → DEL,1,No info,13555,3,6,1400,5,45,5,5,7
1647,GoAir,Delhi,Cochin,DEL → BOM → COK,1,No info,5135,4,6,540,10,35,19,35,20
1648,Air Asia,Banglore,Delhi,BLR → DEL,0,No info,3383,5,15,170,23,55,2,45,16
1649,GoAir,Delhi,Cochin,DEL → AMD → COK,1,No info,5842,6,15,370,7,25,13,35,20
1650,Jet Airways,Delhi,Cochin,DEL → AMD → BOM → COK,2,No info,16704,5,18,900,13,25,4,25,18
1651,Air India,Kolkata,Banglore,CCU → BOM → BLR,1,No info,8366,5,1,905,16,50,7,55,2
1652,SpiceJet,Mumbai,Hyderabad,BOM → HYD,0,No check-in baggage included,1965,5,9,90,5,45,7,15,20
1653,SpiceJet,Kolkata,Banglore,CCU → BLR,0,No info,3873,6,6,150,17,10,19,40,20
1655,Multiple carriers,Delhi,Cochin,DEL → BOM → COK,1,No info,10678,6,6,460,4,55,12,35,20
1659,IndiGo,Banglore,Delhi,BLR → DEL,0,No info,3943,5,1,170,4,0,6,50,20
1660,IndiGo,Delhi,Cochin,DEL → BOM → COK,1,No info,7191,5,18,575,11,25,21,0,20
1664,Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,1,No info,14571,6,6,1550,18,55,20,45,7
1665,Air India,Banglore,New Delhi,BLR → CCU → BBI → HYD → DEL,3,No info,12346,3,1,1825,5,50,12,15,2
1667,Jet Airways,Delhi,Cochin,DEL → NAG → BOM → COK,2,No info,13376,6,9,830,14,35,4,25,10
1668,Jet Airways,Banglore,New Delhi,BLR → BOM → DEL,1,In-flight meal not included,11087,3,12,1050,18,55,12,25,13
1669,SpiceJet,Kolkata,Banglore,CCU → BLR,0,No info,5515,3,3,150,9,0,11,30,20
1671,IndiGo,Chennai,Kolkata,MAA → CCU,0,No info,3597,6,12,140,13,15,15,35,20
1672,Multiple carriers,Delhi,Cochin,DEL → BOM → COK,1,No info,15353,3,6,795,6,0,19,15,20
1673,Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,1,In-flight meal not included,9899,6,12,590,6,30,16,20,20
1675,Jet Airways,Banglore,New Delhi,BLR → BOM → DEL,1,No info,13817,3,12,745,8,55,21,20,20
1676,Jet Airways,Delhi,Cochin,DEL → AMD → BOM → COK,2,No info,19329,3,6,1475,19,10,19,45,7
1677,Jet Airways,Delhi,Cochin,DEL → BOM → COK,1,No info,16289,6,12,330,7,5,12,35,20
1678,Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,1,In-flight meal not included,9663,5,15,910,18,55,10,5,16
1679,Air India,Delhi,Cochin,DEL → HYD → MAA → COK,2,No info,10975,6,3,1420,9,45,9,25,4
1680,Air Asia,Kolkata,Banglore,CCU → BLR,0,No info,4384,3,18,155,10,20,12,55,20
1681,Jet Airways,Delhi,Cochin,DEL → BOM → COK,1,No info,14714,6,12,600,9,0,19,0,20
1682,Jet Airways,Delhi,Cochin,DEL → NAG → BOM → COK,2,In-flight meal not included,10919,6,12,830,14,35,4,25,13
1683,Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,1,No info,14388,5,21,875,14,5,4,40,22
1684,Multiple carriers,Delhi,Cochin,DEL → BOM → COK,1,No info,10877,6,15,455,11,25,19,0,20
1686,IndiGo,Delhi,Cochin,DEL → BOM → COK,1,No info,7191,5,6,810,7,30,21,0,20
1687,GoAir,Kolkata,Banglore,CCU → BOM → BLR,1,No info,6686,5,1,495,23,30,7,45,2
1688,Multiple carriers,Delhi,Cochin,DEL → BOM → COK,1,No info,7530,6,3,760,12,50,1,30,4
1689,IndiGo,Delhi,Cochin,DEL → HYD → COK,1,No info,6442,6,15,895,7,35,22,30,20
1690,Jet Airways,Delhi,Cochin,DEL → BOM → COK,1,In-flight meal not included,10262,6,27,1655,9,0,12,35,28
1691,Jet Airways,Banglore,New Delhi,BLR → BOM → DEL,1,No info,13817,3,12,875,18,55,9,30,13
1692,Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,1,No info,13626,6,12,570,14,5,23,35,20
1693,Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,1,No info,14388,5,12,910,18,55,10,5,13
1696,SpiceJet,Delhi,Cochin,DEL → BLR → COK,1,No info,4611,4,3,295,17,55,22,50,20
1697,IndiGo,Kolkata,Banglore,CCU → MAA → BLR,1,No info,5069,6,9,290,8,10,13,0,20
1698,GoAir,Banglore,Delhi,BLR → DEL,0,No info,3898,6,6,175,7,45,10,40,20
1699,IndiGo,Mumbai,Hyderabad,BOM → HYD,0,No info,2754,6,6,90,12,0,13,30,20
1700,Multiple carriers,Delhi,Cochin,DEL → BOM → COK,1,In-flight meal not included,6943,5,27,630,15,0,1,30,28
1701,Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,1,No info,14781,5,18,750,5,45,18,15,20
1703,IndiGo,Banglore,New Delhi,BLR → DEL,0,No info,8033,3,15,170,16,55,19,45,20
1706,IndiGo,Banglore,Delhi,BLR → DEL,0,No info,4823,5,12,175,7,10,10,5,20
1707,IndiGo,Kolkata,Banglore,CCU → BLR,0,No info,4174,4,9,155,4,40,7,15,20
1708,Jet Airways,Delhi,Cochin,DEL → AMD → BOM → COK,2,No info,12819,6,27,1775,13,25,19,0,28
1709,Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,1,In-flight meal not included,9663,5,15,450,21,10,4,40,16
1710,SpiceJet,Kolkata,Banglore,CCU → BLR,0,No check-in baggage included,3841,5,3,155,6,55,9,30,20
1712,Air India,Banglore,New Delhi,BLR → CCU → GAU → DEL,2,Change airports,13366,3,1,980,5,50,22,10,20
1713,Vistara,Mumbai,Hyderabad,BOM → DEL → HYD,1,No info,12395,3,6,1130,21,55,16,45,7
1714,Air India,Kolkata,Banglore,CCU → GAU → BLR,1,No info,7452,5,15,1700,16,45,21,5,16
1715,Jet Airways,Delhi,Cochin,DEL → BOM → COK,1,No info,15554,5,18,1395,19,45,19,0,18
1716,Jet Airways,Kolkata,Banglore,CCU → DEL → BLR,1,No info,13067,5,6,1325,17,0,15,5,7
1717,IndiGo,Kolkata,Banglore,CCU → BLR,0,No info,6565,3,1,155,15,10,17,45,20
1722,Air India,Kolkata,Banglore,CCU → DEL → COK → BLR,2,No info,12224,6,12,1665,10,0,13,45,13
1723,Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,1,In-flight meal not included,9663,5,1,1025,18,55,12,0,2
1724,Jet Airways,Banglore,New Delhi,BLR → BOM → DEL,1,No info,12284,3,18,380,8,55,15,15,20
1725,Air India,Delhi,Cochin,DEL → MAA → COK,1,No info,7480,5,27,965,17,20,9,25,28
1726,Jet Airways,Delhi,Cochin,DEL → BOM → COK,1,No info,17024,3,6,550,19,15,4,25,7
1727,Jet Airways,Kolkata,Banglore,CCU → DEL → BLR,1,No info,14151,6,6,1365,20,25,19,10,7
1729,IndiGo,Delhi,Cochin,DEL → BOM → COK,1,No info,6069,5,18,300,16,0,21,0,20
1731,Jet Airways,Kolkata,Banglore,CCU → DEL → BLR,1,No info,14151,5,18,800,20,25,9,45,18
1732,Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,1,No info,14231,3,24,1025,18,55,12,0,25
1733,Vistara,Mumbai,Hyderabad,BOM → DEL → HYD,1,No info,12395,3,6,1065,15,40,9,25,7
1735,Air India,Delhi,Cochin,DEL → BLR → COK,1,No info,5232,4,6,320,17,40,23,0,20
1736,Jet Airways,Delhi,Cochin,DEL → BOM → COK,1,No info,14714,6,1,865,14,0,4,25,2
1737,IndiGo,Chennai,Kolkata,MAA → CCU,0,No info,3850,5,6,140,7,55,10,15,20
1738,Air India,Delhi,Cochin,DEL → BLR → COK,1,No info,7258,5,27,955,17,40,9,35,28
1739,Jet Airways,Banglore,New Delhi,BLR → BOM → DEL,1,No info,17471,3,6,1375,21,25,20,20,7
1740,SpiceJet,Banglore,Delhi,BLR → DEL,0,No info,4423,5,9,175,21,10,0,5,10
1741,IndiGo,Mumbai,Hyderabad,BOM → HYD,0,No info,2227,6,18,90,21,20,22,50,20
1742,Multiple carriers,Delhi,Cochin,DEL → BOM → COK,1,No info,13377,6,24,930,10,0,1,30,25
1743,Jet Airways,Banglore,Delhi,BLR → DEL,0,No info,8016,6,12,180,8,20,11,20,20
1744,Air India,Banglore,New Delhi,BLR → HYD → DEL,1,No info,5626,3,9,1560,6,50,8,50,13
1746,IndiGo,Delhi,Cochin,DEL → BOM → COK,1,No info,6628,6,1,415,18,35,1,30,2
1747,Jet Airways,Delhi,Cochin,DEL → BOM → COK,1,In-flight meal not included,11627,6,6,1415,13,0,12,35,7
1748,SpiceJet,Kolkata,Banglore,CCU → BLR,0,No info,4174,6,9,150,17,10,19,40,20
1749,Jet Airways,Delhi,Cochin,DEL → BOM → COK,1,No info,14714,6,1,610,18,15,4,25,2
1750,Jet Airways,Kolkata,Banglore,CCU → DEL → BLR,1,No info,14151,5,12,690,9,35,21,5,20
1751,Jet Airways,Delhi,Cochin,DEL → BOM → COK,1,In-flight meal not included,12898,5,27,1620,16,0,19,0,28
1752,Jet Airways,Delhi,Cochin,DEL → BOM → COK,1,In-flight meal not included,12373,5,18,395,21,50,4,25,18
1753,IndiGo,Banglore,Delhi,BLR → DEL,0,No info,3943,6,18,170,10,10,13,0,20
1754,Air Asia,Kolkata,Banglore,CCU → IXR → DEL → BLR,2,No info,7870,6,9,500,15,10,23,30,20
1755,Jet Airways,Banglore,Delhi,BLR → DEL,0,No info,8016,6,18,185,18,55,22,0,20
1756,Air India,Delhi,Cochin,DEL → HYD → MAA → COK,2,No info,10975,5,15,1220,13,5,9,25,16
1758,IndiGo,Kolkata,Banglore,CCU → BLR,0,No info,4804,6,18,165,20,25,23,10,20
1759,Jet Airways,Delhi,Cochin,DEL → BOM → COK,1,No info,15554,3,9,455,20,50,4,25,10
1760,SpiceJet,Kolkata,Banglore,CCU → BLR,0,No info,4465,3,18,160,6,55,9,35,20
1761,Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,1,In-flight meal not included,11841,6,9,775,21,10,10,5,10
1762,Multiple carriers,Delhi,Cochin,DEL → BOM → COK,1,No info,19332,3,9,675,8,0,19,15,20
1764,IndiGo,Banglore,Delhi,BLR → DEL,0,No info,4591,4,12,170,10,10,13,0,20
1766,Jet Airways,Delhi,Cochin,DEL → BOM → COK,1,In-flight meal not included,10577,6,9,1100,18,15,12,35,10
1767,Jet Airways,Delhi,Cochin,DEL → JAI → BOM → COK,2,No info,15129,5,18,535,19,30,4,25,18
1768,Multiple carriers,Delhi,Cochin,DEL → BOM → COK,1,No info,11789,6,6,780,6,0,19,0,20
1769,Air India,Delhi,Cochin,DEL → BOM → COK,1,No info,8372,6,15,640,21,0,7,40,16
